PASS | قفل عدم الرجوع teacher.html
PASS | قفل عدم الرجوع staff_discipline.html
PASS | JS manager.html
PASS | JS school_information_center.html
PASS | JS manager_records.html
PASS | JS decisions_assignments.html
PASS | JS deputy_weekly_teacher_followup.html
PASS | JS school-information-source.js
PASS | متابعة المدير بلا independent/direct
PASS | سياق متابعة المدير محفوظ
PASS | المراحل الخمس
PASS | صفوف ابتدائية 4-6
PASS | طفولة مبكرة 1-3
PASS | كل إجراءات المركز لها خلفية
PASS | لا حذف فعلي للطلاب
PASS | حذف منطقي فقط
PASS | استيراد يحافظ على id
PASS | عزل school_id في عمليات الطلاب
PASS | SchoolInformationSource متوافق مع جميع المستهلكين
PASS | كاش معزول school+year
PASS | حذف القرار يحمي حالات الفشل
PASS | أرشيف المدير يبقي مزامنة القرارات بالخلفية
PASS | سجلات المدير مرتبطة بالمركز
PASS | القرارات لا تفرض تحديث كل فتح
